Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","ATL",0.2899305555555556,1.40609137,0.196610169,0.469491525,0.333898305,0.121827411,0.131979695,95,4.5,994,1930,2924,0.38372093,0.34385382,0.27242525,0.24252492,0.48504983,0.27242525,"R.A. Dickey",1245,285079
"CC Sabathia","NYY",0.27634660421545665,1.786885245,0.221967963,0.498855835,0.279176201,0.073770491,0.172131147,98,5.932735831956792,852,1488,2340,0.41517857,0.38169643,0.203125,0.24107143,0.48660714,0.27232143,"CC Sabathia",404,282332
"Joakim Soria","KCR",0.3287671232876712,2.352941176,0.219178082,0.547945205,0.232876712,0.029411764,0.029411764,17,2.732142857142857,370,623,993,0.41496599,0.33333333,0.25170068,0.18367347,0.54421769,0.27210884,"Joakim Soria",6941,465657
"Miguel Castro","BAL",0.22727272727272727,1.470588235,0.172413793,0.492610837,0.334975369,0.058823529,0.117647058,37,5.02010191592014,392,641,1033,0.48543689,0.34466019,0.16990291,0.23786408,0.49029126,0.27184466,"Miguel Castro",15684,612434
"Jarlín García","MIA",0.26282051282051283,0.953846153,0.201257861,0.389937106,0.408805031,0.169230769,0.092307692,18,3.037500941455656,331,561,892,0.33333333,0.39506173,0.27160494,0.18518519,0.54320988,0.27160494,"Jarlin Garcia",18282,606424
"Marco Estrada","TOR",0.2946768060836502,0.602888086,0.194192377,0.303085299,0.502722323,0.166064981,0.111913357,115,5.5645156725388665,1144,2102,3246,0.42446043,0.28597122,0.28956835,0.21402878,0.51438849,0.27158273,"Marco Estrada",1118,462136
"Blake Wood","- - -",0.36893203883495146,2.094339622,0.230046948,0.52112676,0.248826291,0.113207547,0.150943396,21,2.5426012013218697,489,794,1283,0.35514019,0.41121495,0.23364486,0.20560748,0.52336449,0.27102804,"Blake Wood",1345,502028
"Tyler Clippard","- - -",0.2483221476510067,0.641025641,0.168831168,0.324675324,0.506493506,0.102564102,0.128205128,24,3.580111195180241,410,703,1113,0.41509434,0.35220126,0.2327044,0.16981132,0.55974843,0.27044025,"Tyler Clippard",5640,461325
"Randall Delgado","ARI",0.3016759776536313,1.45614035,0.226519337,0.458563535,0.314917127,0.105263157,0.105263157,17,2.441489609402759,377,673,1050,0.36216216,0.32432432,0.31351351,0.20540541,0.52432432,0.27027027,"Randall Delgado",5985,517414
"Garrett Richards","LAA",0.2328767123287671,1.857142857,0.166666666,0.541666666,0.291666666,0.095238095,0.047619047,9,2.927710506978034,150,277,427,0.35135135,0.40540541,0.24324324,0.24324324,0.48648649,0.27027027,"Garrett Richards",9784,572070
"Sean Newcomb","ATL",0.32727272727272727,1.315217391,0.228260869,0.438405797,0.333333333,0.054347826,0.108695652,41,3.6900002815246795,672,1159,1831,0.36491228,0.34736842,0.2877193,0.1754386,0.55438596,0.27017544,"Sean Newcomb",16943,656794
"Ross Stripling","LAD",0.2935323383084577,1.7,0.217391304,0.492753623,0.289855072,0.083333333,0.166666666,30,3.6322879896738343,414,765,1179,0.2985782,0.37440758,0.32701422,0.20379147,0.52606635,0.27014218,"Ross Stripling",13273,548389
"Carlos Torres","MIL",0.3090909090909091,1.342105263,0.201793721,0.457399103,0.340807174,0.039473684,0.131578947,26,3.2201835989360146,461,787,1248,0.35652174,0.40869565,0.23478261,0.20869565,0.52173913,0.26956522,"Carlos Torres",7624,448614
"Charlie Morton","HOU",0.29442970822281167,1.785714285,0.191709844,0.518134715,0.29015544,0.098214285,0.125,118,7.240908839801135,867,1520,2387,0.41538462,0.35384615,0.23076923,0.22051282,0.51025641,0.26923077,"Charlie Morton",4676,450203
"Steven Okert","SFG",0.26582278481012656,0.631578947,0.215189873,0.303797468,0.481012658,0.026315789,0.078947368,14,4.666667985327822,164,297,461,0.32926829,0.42682927,0.24390244,0.14634146,0.58536585,0.26829268,"Steven Okert",13580,595345
"Keone Kela","TEX",0.1794871794871795,0.531914893,0.121951219,0.304878048,0.573170731,0.191489361,0.085106382,18,4.189656274639334,238,376,614,0.34146341,0.41463415,0.24390244,0.24390244,0.48780488,0.26829268,"Keone Kela",14696,605309
"Mike Morin","- - -",0.38235294117647056,1.375,0.161764705,0.485294117,0.352941176,0.166666666,0.125,5,2.2500004291535243,111,233,344,0.45070423,0.36619718,0.18309859,0.14084507,0.5915493,0.26760563,"Mike Morin",13442,573046
"Michael Lorenzen","CIN",0.2948717948717949,2.166666666,0.201680672,0.546218487,0.25210084,0.083333333,0.15,41,4.445783949846741,519,847,1366,0.36625514,0.37037037,0.26337449,0.22633745,0.50617284,0.26748971,"Michael Lorenzen",14843,547179
"Jason Motte","ATL",0.2,1.130434782,0.147826086,0.452173913,0.4,0.065217391,0.130434782,17,3.7622956701647134,247,405,652,0.34482759,0.39655172,0.25862069,0.24137931,0.49137931,0.26724138,"Jason Motte",5861,435400
"J.A. Happ","TOR",0.30238095238095236,1.390410958,0.193995381,0.46882217,0.337182448,0.08219178,0.123287671,71,4.396788683074903,905,1582,2487,0.37214612,0.32648402,0.30136986,0.20319635,0.52968037,0.26712329,"J.A. Happ",7410,457918
