Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Aníbal Sánchez","DET",157,0.28571429,0.60603774,0.45400476,0.64912281,0.85305106,0.79213974,0.52537669,22.96233624,"Anibal Sanchez",3284,434671
"Jake Petricka","CHW",52,0.30053191,0.63224181,0.47089263,0.61061947,0.88047809,0.7967033,0.51358344,22.94363636,"Jake Petricka",10534,502593
"C.J. Wilson","LAA",132,0.24029575,0.61830574,0.42437174,0.57692308,0.88661417,0.79664804,0.48696064,22.94225722,"C.J. Wilson",3580,450351
"Chase Anderson","ARI",152.2,0.27057793,0.63559969,0.46552428,0.6763754,0.88341346,0.82734443,0.53406773,22.9325779,"Chase Anderson",6895,502624
"Cody Anderson","CLE",91.1,0.30247934,0.67836257,0.50193949,0.68852459,0.90301724,0.8423493,0.53064391,22.92688414,"Cody Anderson",12799,594736
"Brad Boxberger","TBR",63,0.32918149,0.6218638,0.475,0.61621622,0.80403458,0.7387218,0.49821429,22.92325856,"Brad Boxberger",10133,502202
"Jon Lester","CHC",205,0.28134373,0.64158416,0.45285984,0.55223881,0.8755144,0.7702984,0.47611565,22.91449978,"Jon Lester",4930,452657
"Kevin Quackenbush","SDP",58.1,0.27634195,0.63773585,0.46176186,0.69784173,0.84319527,0.80083857,0.51306873,22.89947781,"Kevin Quackenbush",12360,534812
"Carson Smith","SEA",70,0.27142857,0.53191489,0.41081594,0.33082707,0.85333333,0.69284065,0.53510436,22.89933775,"Carson Smith",13172,605476
"Matthew Boyd","- - -",57.1,0.22616408,0.625,0.44566301,0.62745098,0.87246377,0.81655481,0.55034895,22.89931034,"Matthew Boyd",15440,571510
"Tyler Duffey","MIN",58,0.31291028,0.59910913,0.45474614,0.59440559,0.88475836,0.78398058,0.49558499,22.87841945,"Tyler Duffey",13758,608648
"Noah Syndergaard","NYM",150,0.30416313,0.64267782,0.47470489,0.53072626,0.83984375,0.74156306,0.50379427,22.85417867,"Noah Syndergaard",11762,592789
