Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Robbie Erlin","SDP",55.1,90.66513792226013,,,,,90.45735677083333,88.19387350277024,76.24018788560528,,,83.51194983908215,,,"Robbie Erlin",10354,572362
"Mychal Givens","BAL",63,95.25540865384616,,,,,,87.07844662238024,,,,84.6651874011076,,,"Mychal Givens",10430,571710
"Jimmy Nelson","MIL",22,92.31855569426547,,,,,92.96000339673913,85.4590909090909,,82.79634205887957,,87.16666666666667,,,"Jimmy Nelson",10547,519076
"Chad Bettis","COL",63.2,93.02086773797426,,88.71508652671089,,,93.08076829176683,,77.33467446604082,,,87.03403555628765,,,"Chad Bettis",10587,518452
"Chris Sale","BOS",147.1,93.40701974801812,,,,,92.21593314243027,78.97982939545935,,,,85.24713643391927,,,"Chris Sale",10603,519242
"Shane Greene","- - -",62.2,93.89444478352864,,87.65423728813559,,,92.55513927424066,80.21921422798646,,,,85.37999725341797,,,"Shane Greene",10756,572888
"Mike Foltynewicz","ATL",117,94.80482897384306,,,,,94.95785446797521,85.440890741171,79.44052734375,,,86.69050061103351,,,"Mike Foltynewicz",10811,592314
"Asher Wojciechowski","BAL",82.1,91.49406207406567,,85.65123950971731,,,,80.64011138660995,,,,85.42941463694854,,,"Asher Wojciechowski",10836,592879
"Adam Kolarek","- - -",55,91.5654776436942,,83,,,88.88621666574646,75.65238250248017,,,,81.37260290694563,,,"Adam Kolarek",10843,592473
"Josh A. Smith","BOS",31,91.31166449652778,,89.53333367241754,,,91.6086956521739,86.93333136898347,78.04087662522811,,,81.7425537109375,,,"Josh A. Smith",10946,595001
"Jacob deGrom","NYM",204,96.88815307617188,,,,,96.68235150505515,92.45567820450098,84.25484080981182,,,90.26047585227273,,,"Jacob deGrom",10954,594798
"Merrill Kelly","ARI",183.1,91.95732086347198,,89.85918657235622,,,91.54634418554006,,80.58923803401899,,,86.00201201319095,,,"Merrill Kelly",11156,518876
